2.200	Aspen Technology's shares dropped 74 cents, or 23 percent, to close at $2.48 on the Nasdaq.	In afternoon trading, Aspen's shares were off 89 cents or more than 27 percent at $2.33 per share.
2.800	The new law requires libraries and schools to use filters or lose federal financing.	The 6-3 ruling reinstates a law that told libraries to install filters or surrender federal money.
3.600	In addition, it offered the United States and Israel a way to work around Mr. Arafat.	When the prime minister's position was established in the spring, it offered the United States and Israel a way to work around Arafat.
2.600	And yes, Marilyn Monroe is definitely part of the story, titled "Arthur Miller, Elia Kazan and the Blacklist: None Without Sin."	Note the subheading of this terrible parable in the "American Masters" series, "Arthur Miller, Elia Kazan and the Blacklist: None Without Sin."
3.800	Gilroy police and FBI agents described Gehring as cooperative, but said Saturday that he had revealed nothing about what had happened to the children.	Saturday, officials in California described Gehring as cooperative — but said he has revealed nothing about what has happened to the children.
3.200	Scribner's body was found floating in the city's Portage Bay, where he lived with his wife in a houseboat.	A kayaker found Dr. Scribner's body floating near the doctor's houseboat in Portage Bay, where he was eating lunch when his wife, Ethel, left for an appointment.
5.000	After protesters rushed the stage and twice cut power to the microphone, Hedges drew the speech to an early close.	After protesters rushed the stage and twice cut power to the microphone, Hedges cut his speech short.
4.000	A passer-by found Ben hiding along a dirt road in Spanish Fork Canyon about 7 p.m., with his hands still taped together but his feet free.	A passer-by found the boy hiding along a dirt road in Spanish Fork Canyon about 7 p.m. Thursday, with his feet free but his hands still taped.
1.200	Analysts expected earnings of 27 cents a share on revenue of $17.7 billion, Thomson First Call says.	Hewlett-Packard is putting in for a second-quarter profit of $659 million, or 29 cents a share, on revenue of $18 billion.
5.000	Doctors say one or both boys may die, and that some brain damage is possible if they survive.	Doctors said that one or both of the boys may die and that if they survive, some brain damage is possible.
3.800	Another was in serious condition at Northwest Medical Center in Springdale.	At Northwest Medical Center of Washington County in Springdale, one child is in serious condition.
3.800	"I started crying and yelling at him, 'What do you mean, what are you saying, why did you lie to me?'"	Gulping for air, I started crying and yelling at him, 'What do you mean?
